"Year","est","se","CV","lo","hi"
1989,4531.15069022191,1.15186988436225,0.142096145485977,3434.47220785948,5978.01505876636
1990,5293.81544980806,1.32042129216717,0.283406650652954,3070.27027291987,9127.69219824248
1991,3432.01961336441,1.31290700249072,0.277366978939787,2012.86870891194,5851.72722610659
1992,2914.19469592094,1.30288588447743,0.269280370473651,1735.02684633944,4894.75465100226
1993,1433.8581677476,1.3106580859534,0.275555421259402,843.78379432536,2436.58299560058
1994,12917.6642384414,1.34567186878295,0.303557636630095,7218.8473040433,23115.3316241565
1995,22292.8060068221,1.43176501918205,0.370782397271495,11032.1898118049,45047.1944496481
1996,19482.2995256952,1.40320881304195,0.348717061893842,10029.650498177,37843.7907560082
1997,3695.79572991924,1.40261150544361,0.348253207233044,1904.21487409248,7172.98570824311
1998,1717.233026538,1.34037445470035,0.29934800854217,967.098201395309,3049.21388870155
1999,35119.7098005229,1.34194279413897,0.300595270327917,19733.1707511716,62503.5901237368
2000,29892.6659056775,1.40386754058511,0.349228500468322,15374.8445800238,58119.0574186
2001,9635.25245661821,1.36136140015063,0.315971935431316,5263.56506295327,17637.8725811129
2002,19003.7948022129,1.33950101982636,0.298653031405591,10716.0943584735,33701.1046005814
2003,4829.21232608688,1.54420216099276,0.455845735416854,2060.73881442542,11316.9565823566
2004,2484.88576162702,1.3466163152667,0.304307175210738,1386.73377511548,4452.66233442861
2005,4184.13262224263,1.40397880438348,0.349314874387237,2151.71163499511,8136.297408902
2006,19871.6711445975,1.33874035462289,0.298047575063004,11217.9654726671,35200.9742801557
2007,15268.4142472098,1.35302014012559,0.309381764025472,8441.94097316713,27615.0324155772
2008,17686.3744617444,1.34959018240341,0.306665413504803,9827.60654469325,31829.503977238
2009,18410.5636873646,1.33819498072997,0.297613361701267,10401.4437567011,32586.7123079084
2010,7113.475265954,1.34651872479589,0.304229738289673,3970.36268974332,12744.8130847237
2011,15018.9717441287,1.3486055424523,0.305884925794627,8357.38473124222,26990.4425253624
2012,61098.2084126703,1.33000761959643,0.291082668432107,34936.4556655981,106850.881124555
2013,21345.5511032648,1.38974356386866,0.338236181388168,11198.5182949597,40686.8605203929
2014,9550.41417360307,1.36828837358145,0.321428161282872,5165.57822340788,17657.3477242174
2015,9761.76508876499,1.36558815974829,0.319303025524437,5300.3741897853,17978.3642128276
2016,36297.5053740141,1.37206424305977,0.32439612817305,19526.6530935195,67472.3358922085
2017,13866.3611694366,1.35368326715683,0.309906489717245,7659.38333657056,25103.322765322
2018,4212.01736352161,1.34113532152125,0.29995320955206,2369.45489828718,7487.41420798181
2019,16083.4962549244,1.33982625527472,0.298911845484401,9065.04594013075,28535.8566840794
2020,18176.2972767794,1.34940901153795,0.306521829697442,10102.4948162107,32702.5936369426
2021,14225.3072859592,1.36360798236079,0.317743147553633,7745.95588229188,26124.5184526006
2022,43544.1414181509,1.36420944646726,0.318217077243842,23690.1454256586,80037.1723252605
2023,33779.2483772305,1.3806609652253,0.331137456550888,17950.8251278821,63564.6335364448
